#{"t_start": 1629136235.571975, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,3.201383
-67.782128,87,3.444922
-197.924394,67,3.627659
-279.513276,105,3.896325
-123.633501,99,4.180443
-334.260422,124,4.522873
-96.12964,68,4.708622
-115.800032,128,5.067873
-122.168452,64,5.245315
-136.090989,102,5.535641
-101.234691,128,5.876
-116.577897,109,6.219134
-80.139599,70,6.440375
-100.782603,60,6.618171
-111.614655,75,6.812512
-130.79032,79,7.035139
-103.296811,76,7.252846
-296.90333,86,7.585726
66.593887,92,7.848414
-119.317955,89,8.087449
-303.838081,100,8.362689
-47.480419,60,8.529468
-328.251215,93,8.815692
-115.874228,67,9.002921
-124.013335,98,9.284094
-162.400896,114,9.545403
-287.866378,94,9.75723
-29.70943,133,10.116913
-252.836647,95,10.406865
-287.972794,93,10.665116
-82.009008,71,10.863299
-262.687141,126,11.217602
-78.557795,63,11.395865
-274.144437,107,11.697582
-125.051999,94,11.978813
-92.124445,56,12.148695
-82.853717,76,12.381531
-181.188024,102,12.666861
-179.80773,102,12.949602
-154.844479,128,13.304956
-333.16698,112,13.616294
-208.017131,120,13.954019
-127.792325,86,14.195541
-271.997399,102,14.478381
-312.392888,87,14.72563
-261.328635,113,15.046946
-256.664426,119,15.402669
-365.040159,92,15.677773
-248.489123,104,15.987439
-119.092731,90,16.276629
-131.348908,90,16.530562
-89.509867,63,16.710901
-135.943539,68,16.929578
-122.186595,90,17.20969
-110.902424,91,17.465178
-95.616854,113,17.779752
-102.160673,63,17.969764
-131.52896,145,18.388803
-177.782549,90,18.640764
-163.841573,71,18.837621
-178.494138,74,19.065567
-73.17638,62,19.269251
-106.686439,110,19.582906
-85.800789,64,19.761208
-85.664052,57,19.919925
-123.832024,60,20.088524
-307.309531,105,20.419371
-115.839116,67,20.583267
-118.449117,101,20.84136
-254.32054,117,21.160877
-135.781423,86,21.41802
-283.584895,88,21.677812
-125.638122,64,21.856581
-91.615657,62,22.029513
-108.867398,69,22.222085
-69.418565,60,22.388248
-122.377953,86,22.629187
-86.816323,71,22.82656
-104.034209,98,23.100673
-76.01358,66,23.281699
-121.637937,67,23.466692
-84.2505,61,23.636488
-186.197601,86,23.890728
-177.575971,75,24.099837
-345.773867,85,24.361575
-197.098837,111,24.69312
-161.023907,62,24.867568
-68.044963,65,25.049533
-130.902007,104,25.345755
-138.88501,101,25.631019
-351.218908,76,25.844445
-334.300381,129,26.228635
-229.606839,103,26.516317
-375.870069,95,26.782202
-337.08505,88,27.029027
-117.555136,102,27.316453
-233.41435,146,27.730615
-115.308426,73,27.94946
-132.40928,84,28.203217
37.836105,128,28.58652
-134.777743,81,28.811269
-240.952869,129,29.170967
-237.530196,78,29.389063
-421.038689,100,29.683612
-157.213328,87,29.925223
-86.308664,56,30.079544
-111.930601,115,30.44316
-132.005735,87,30.708401
-111.205109,80,30.931303
-318.87239,97,31.202312
-364.281915,92,31.495986
-626.510746,75,31.620088
-997.127706,85,31.654643
-565.761781,63,31.679507
-647.210735,68,31.706609
-376.413776,52,31.726807
-111.352926,75,31.937711
-104.670591,124,32.285219
-129.696467,111,32.592809
-420.410181,87,32.84966
-94.678082,61,33.017865
-179.845711,101,33.315239
-382.717807,100,33.604152
-114.549647,68,33.803977
-455.398312,52,33.959515
-849.766914,78,34.194123
-485.758961,73,34.41362
-482.180472,55,34.578048
-385.03668,131,34.979887
-467.660145,76,35.207664
-1203.740091,94,35.490111
-451.384444,74,35.712631
-658.454938,75,35.952862
-801.522599,76,36.181647
-512.180123,64,36.373076
-518.222886,57,36.543357
-821.338729,78,36.778615
-444.807202,59,36.95452
-393.981349,49,37.100802
-845.936536,83,37.365964
-617.484119,63,37.555097
-496.12269,55,37.720419
-402.584847,96,38.026538
-498.985345,54,38.187896
-510.95053,64,38.379118
-567.069198,60,38.557701
-817.470743,78,38.791255
-507.395555,58,38.964525
-334.537905,52,39.119416
-438.36275,53,39.277715
-566.770544,63,39.48049
-547.937063,73,39.69903
-837.344384,82,39.943681
-405.431851,49,40.090743
-539.453468,66,40.303246
-411.793988,48,40.446587
-507.398241,63,40.634715
-794.583042,79,40.872676
-448.36057,57,41.042583
-476.338263,57,41.213156
-726.078926,81,41.457116
-542.501192,62,41.64584
-480.445389,57,41.817569
-567.513295,61,42.000845
-754.429623,75,42.226136
-769.863587,87,42.489044
-542.379005,64,42.682097
-532.72444,68,42.886493
-365.738869,50,43.037261
-412.024058,50,43.198784
-449.337819,75,43.42085
-480.346141,54,43.580757
-388.332078,48,43.709637
-711.309865,83,43.974662
-558.187348,66,44.181395
-530.671788,59,44.381143
-768.846085,84,44.634077
-474.106745,58,44.807922
-460.449239,52,44.967173
-568.771416,59,45.143517
-652.089323,72,45.359113
-1118.722949,90,45.632472
-452.348915,81,45.871185
-476.143088,63,46.060205
-667.662015,72,46.316848
-328.741075,52,46.471104
-796.965534,77,46.701525
-380.806115,72,46.936224
-638.596543,80,47.175159
-835.593427,80,47.41918
-741.060628,71,47.64128
-446.427882,54,47.809263
-440.833416,60,48.016784
-471.830184,72,48.235502
-538.019144,58,48.439046
-760.858949,83,48.695158
-611.507814,66,48.894508
-946.851646,85,49.160791
-532.767837,60,49.361591
-714.953237,71,49.604877
-708.025618,72,49.824256
-466.310641,54,49.987085
-392.320924,49,50.137459
-618.973715,69,50.347648
-574.788145,63,50.539036
-754.622562,74,50.763555
-499.289969,54,50.928284
-760.95965,84,51.189984
-516.430032,57,51.364471
-372.228876,52,51.521969
-1254.745832,133,51.935592
-756.213496,81,52.187316
-424.271923,57,52.363312
-464.192997,54,52.527505
-764.031376,73,52.746171
-661.453831,78,52.982931
-733.469184,78,53.222032
-448.420428,73,53.429374
-366.173219,53,53.582312
-656.906006,69,53.791705
-506.088785,64,53.985496
-647.445285,74,54.225126
-486.673639,58,54.400692
-557.415528,69,54.594254
-752.676315,72,54.819954
-357.830644,51,54.98087
-514.650587,57,55.185126
-865.178034,79,55.432789
-662.316518,67,55.640049
-423.336414,50,55.793006
-871.018107,82,56.046137
-512.3288,62,56.235463
-522.948111,65,56.433506
-505.53463,70,56.646542
-497.058587,63,56.837984
-737.22497,81,57.087647
-541.162476,67,57.293506
-436.766986,60,57.476762
-500.058485,58,57.66232
-515.71878,64,57.858853
-650.577567,76,58.110111
-701.845912,73,58.333137
-825.127354,78,58.573342
-869.287561,88,58.866041
-489.880296,70,59.079388
-531.46619,75,59.310225
-377.652465,50,59.462021
-720.744407,78,59.70325
-648.508061,67,59.910425
-732.024505,73,60.128233
-805.033448,76,60.383304
-390.257411,51,60.537191
-744.050633,78,60.775461
-419.009957,78,61.012379
-498.024241,72,61.228937
-367.054109,53,61.389274
-747.876114,74,61.616887
-753.872662,79,61.877355
-426.924471,49,62.024999
-524.856172,67,62.226708
-373.133756,54,62.31424
-815.519925,85,62.349468
-514.20319,71,62.378566
-634.181167,64,62.404602
-473.628042,55,62.426221
-776.332297,84,62.706069
-452.198995,77,62.940218
-519.165851,56,63.108983
-502.728474,57,63.282929
-430.838828,52,63.456597
-510.276801,58,63.638069
-636.071998,67,63.847414
-506.714968,55,64.020133
-482.021785,64,64.213415
-644.640002,79,64.454308
-456.127475,61,64.638059
-571.982476,62,64.825438
-390.034782,51,64.995709
-401.223774,49,65.160669
-444.461198,52,65.316903
-907.537024,86,65.576343
-811.953649,86,65.836393
-420.027995,58,66.010689
-819.259496,83,66.263687
-525.047104,59,66.44499
-343.344898,52,66.603961
-416.664263,53,66.766634
-463.180703,56,66.936811
-767.679919,82,67.18843
-714.484016,75,67.416673
-561.164286,71,67.630539
-440.944428,59,67.808397
-807.581841,76,68.038922
-480.012722,66,68.237787
-575.339767,61,68.421487
-864.865381,80,68.676801
-501.428397,56,68.844003
-683.617079,76,69.073221
-734.736476,82,69.314125
-491.985859,58,69.488257
-657.904588,74,69.711308
-586.729179,63,69.901699
