#{"t_start": 1629132193.012583, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,5.238089
-67.782128,87,5.500577
-197.924394,67,5.687645
-279.513276,105,6.013295
-123.633501,99,6.33896
-282.076994,119,6.709823
-257.434,93,6.975265
-195.869288,73,7.203327
-164.630994,75,7.43397
27.706453,79,7.654236
-114.987299,77,7.893049
-82.049137,110,8.207612
-335.399529,87,8.453174
-331.800743,103,8.739336
-82.693504,105,9.034031
-38.584793,83,9.264744
-283.295796,84,9.482309
-78.532085,65,9.661132
-145.59233,116,10.01582
-59.432715,105,10.302711
-296.449395,83,10.533885
-230.892658,84,10.770139
-104.513975,70,10.964973
-100.716908,59,11.129778
-233.087489,95,11.428503
-426.621708,82,11.664475
-122.428321,91,11.938868
-68.766389,143,12.357406
-187.330765,97,12.654278
-140.488499,102,12.938997
-256.15728,119,13.271354
-96.88236,70,13.463655
-417.521432,86,13.727382
-3.702002,72,13.925278
-104.696454,80,14.140055
-113.810823,71,14.334623
-110.20113,127,14.734781
-168.619922,66,14.92712
-83.463213,66,15.11553
-141.876691,121,15.451828
-117.677611,66,15.63338
-258.982458,93,15.895258
-119.471384,86,16.13705
-124.92127,66,16.31933
-286.133644,63,16.494677
-114.542956,118,16.822546
-154.236965,63,16.996639
-195.059672,119,17.326686
-4.333849,96,17.594116
-347.331772,116,17.916268
-120.96026,82,18.173642
-260.10916,88,18.420678
-396.630691,95,18.709931
-110.115181,111,19.019115
-88.757764,111,19.330244
-305.80218,68,19.507485
-210.211588,83,19.732159
-211.94184,91,19.993696
-129.136271,76,20.214103
-127.727063,62,20.392643
-249.980371,113,20.739964
-135.425626,103,21.02536
-454.83077,86,21.266197
-91.216098,64,21.465585
-99.544081,69,21.658196
-71.526155,65,21.839728
-249.638633,93,22.10125
-356.430821,76,22.313839
-151.097262,108,22.615228
-255.073583,80,22.837033
-103.03527,61,23.006091
-17.532235,91,23.274176
-280.412605,90,23.531078
-430.804929,84,23.765686
1.322567,123,24.130564
-309.211292,78,24.349057
-186.826209,119,24.685725
-398.832599,100,24.964682
-175.412608,100,25.256377
-242.90456,78,25.48236
-132.337135,65,25.665548
-241.039498,98,25.95809
-140.779444,86,26.204862
-79.262702,62,26.380644
-290.052545,71,26.585703
-256.439023,104,26.911894
-111.972921,63,27.099889
-141.967926,63,27.276009
-128.11063,76,27.469988
-82.131195,58,27.638102
-153.224842,59,27.818846
-70.245883,61,27.978505
-171.82532,100,28.269799
-251.164326,97,28.573849
-277.665825,107,28.928252
-36.130816,73,29.163079
-457.152688,116,29.564553
-270.038463,82,29.834943
-218.472142,96,30.131064
-383.348535,107,30.475965
-501.237232,114,30.851935
-112.364542,69,31.085589
-393.583899,103,31.469927
-298.826838,61,31.682721
-106.731748,68,31.940409
-360.02668,77,32.196344
-370.115167,95,32.552258
-375.797119,117,32.861382
-169.271779,99,33.19538
-446.313054,84,33.479812
-447.082922,85,33.738108
29.764795,74,33.994283
-206.924106,74,34.229531
-164.827914,99,34.476859
-612.090075,65,34.559052
-504.181555,69,34.587186
-372.559748,79,34.62013
-431.719735,53,34.641083
-466.322419,62,34.665845
-338.446309,106,34.99197
-204.62524,90,35.290578
-356.866178,75,35.51916
-215.904637,85,35.761885
26.949446,81,35.99623
-339.528568,106,36.326332
-234.424663,85,36.592962
-197.049415,88,36.868446
-497.808314,125,37.254241
-344.365452,73,37.462316
-282.722957,76,37.644999
-313.438376,100,37.896123
-336.013827,77,38.080204
-324.341474,105,38.332407
-194.908587,72,38.550061
-326.073851,75,38.76036
-461.104774,79,38.984616
-632.586344,94,39.247844
-358.261805,86,39.490222
-509.2576,93,39.775361
-381.142596,84,40.035647
-310.843025,83,40.270108
-489.103296,104,40.564262
-201.213424,63,40.772954
-330.539525,78,40.994762
-323.161234,96,41.297911
-527.139773,97,41.574748
-405.780647,90,41.831038
-132.531056,97,42.106684
-285.793869,75,42.32096
-424.632651,74,42.530939
-322.428481,80,42.75913
-60.799361,76,42.978434
-238.811176,86,43.246502
-235.131888,79,43.471256
-211.125647,68,43.657667
-343.751479,92,43.916615
-113.912292,65,44.094778
-431.755892,90,44.347305
-161.147353,60,44.538551
-405.46435,100,44.833698
-374.898206,76,45.099639
-338.833223,71,45.299139
-361.176014,76,45.534721
-548.735676,92,45.866038
-347.7866,74,46.086598
-463.814327,73,46.293888
-551.158272,103,46.588534
-207.917496,96,46.861439
-256.683854,56,47.022304
-575.318772,89,47.276309
-219.08714,71,47.490333
-271.47228,76,47.70979
-339.694675,98,47.981391
-247.3957,65,48.138549
-551.498868,91,48.402134
-408.690209,85,48.654393
-581.568072,107,48.959699
-262.258766,70,49.165436
-306.595597,72,49.39038
-438.659893,102,49.684308
-381.000288,65,49.875638
-144.102106,79,50.103436
-357.689719,73,50.312157
-445.333235,79,50.539661
-96.211413,66,50.728232
-513.205394,86,51.007043
-384.066119,103,51.3134
34.970969,75,51.562099
-387.895117,102,51.888669
-509.923213,105,52.208088
-127.549346,70,52.457
-198.426251,76,52.677914
-213.928018,66,52.866533
-206.86593,76,53.12783
12.51374,76,53.321566
-156.193105,59,53.469397
-539.850331,93,53.697472
-224.196213,85,53.916562
-210.061622,69,54.14757
-480.025231,76,54.373516
-289.652482,67,54.549856
-522.920049,96,54.837331
-446.938154,75,55.064922
-285.767398,76,55.298998
-328.928956,99,55.595981
-422.28218,81,55.831281
-223.968394,57,56.017987
-421.665303,82,56.252246
-556.426313,85,56.528547
-589.399425,87,56.776904
-296.080545,90,57.044045
-255.024126,63,57.22934
-141.00701,69,57.451576
-374.879095,61,57.627831
-218.666248,80,57.864316
-87.450405,59,58.021411
-329.671744,58,58.185469
-204.202433,66,58.39576
-338.981603,68,58.643845
-407.527058,73,58.8528
-278.721394,58,58.993203
-414.022309,74,59.215502
-366.549823,73,59.413234
-433.906833,79,59.604841
-625.961667,93,59.838301
-275.604467,60,60.010543
-552.822024,88,60.256634
-459.4841,79,60.486781
-584.0273,88,60.742494
-235.492557,64,60.92758
-425.307526,76,61.128135
-465.730636,93,61.349342
-298.466202,61,61.496786
-409.623934,78,61.684421
-257.7883,87,61.891782
-268.067264,63,62.041112
-236.849958,60,62.185914
-584.820015,97,62.425478
-479.245848,86,62.69421
-393.603845,77,62.938683
-451.574543,84,63.210332
-552.474487,88,63.495519
-332.995786,51,63.754022
-524.714717,67,63.781625
-877.248062,83,63.816676
-529.206577,59,63.840495
-458.672963,51,63.861004
-348.320599,63,64.043671
-554.147695,73,64.27271
-289.318382,76,64.534094
-380.817,89,64.788776
-511.723232,90,65.070182
-467.361691,100,65.401487
-598.035394,90,65.688693
-389.413211,67,65.887124
-531.808238,92,66.154132
-448.208337,71,66.361212
-320.65427,73,66.594721
-562.281622,83,66.833254
-471.310408,75,67.018737
-259.72026,67,67.184626
-506.699784,96,67.479416
-451.431559,80,67.712106
-354.862915,79,67.9424
-474.799269,71,68.160358
-583.598862,82,68.370346
-383.195908,134,68.763101
-250.35368,70,68.96395
-520.472712,104,69.265145
-319.992459,96,69.542763
-300.039104,67,69.737612
-393.046585,78,69.963773
-319.247962,71,70.166886
-526.663748,70,70.369568
-488.950004,82,70.603517
-148.753572,60,70.837544
-357.293282,66,71.065967
-72.582294,80,71.296004
-278.322317,71,71.510335
-295.83085,68,71.716138
-322.66061,87,72.004425
-310.876333,65,72.183324
-434.800119,59,72.369411
-362.670069,69,72.5678
-511.666105,79,72.797586
-469.827816,86,73.057356
-401.240755,72,73.289755
-164.357593,72,73.510029
-122.814427,59,73.689968
-410.244967,84,73.970833
-343.649752,68,74.166752
-243.560666,76,74.38369
-235.929864,58,74.554081
-291.406744,54,74.71795
-454.164623,79,74.974405
-600.836893,89,75.235746
-360.691279,71,75.451772
-492.21388,72,75.67226
-536.353337,79,75.90683
-426.249356,90,76.179984
-200.644304,58,76.357803
-366.166641,88,76.627342
-491.760534,88,76.895371
-560.311434,72,77.116655
-394.632047,78,77.355955
-302.741058,61,77.544015
-158.022976,68,77.753498
-425.863724,62,77.938576
-574.860465,86,78.190646
-645.128816,78,78.416893
-363.479214,78,78.667177
-215.437031,64,78.854307
