#{"t_start": 1629134978.37277, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,2.968156
-67.782128,87,3.206756
-197.924394,67,3.392001
-279.513276,105,3.695985
-123.633501,99,3.974548
-334.260422,124,4.371613
-96.12964,68,4.587314
-115.800032,128,4.945974
-122.168452,64,5.123196
-136.090989,102,5.409537
-101.234691,128,5.765112
-116.577897,109,6.068406
-80.139599,70,6.261171
-100.782603,60,6.426349
-111.614655,75,6.633596
-130.79032,79,6.856472
-103.296811,76,7.071599
-296.90333,86,7.319194
66.593887,92,7.584738
-119.317955,89,7.85069
-303.838081,100,8.159652
-47.480419,60,8.328533
-328.251215,93,8.612965
-115.874228,67,8.821509
-124.013335,98,9.097668
-162.400896,114,9.423425
-287.866378,94,9.685534
-29.70943,133,10.073347
-252.836647,95,10.379773
-287.972794,93,10.638361
-82.009008,71,10.83521
-262.687141,126,11.216445
-78.557795,63,11.407327
-274.144437,107,11.706977
-125.051999,94,11.99205
-92.124445,56,12.147493
-82.853717,76,12.358375
-181.188024,102,12.665351
-179.80773,102,12.976713
-154.844479,128,13.356702
-333.16698,112,13.663864
-208.017131,120,14.011587
-127.792325,86,14.242669
-271.997399,102,14.525113
-312.392888,87,14.761841
-261.328635,113,15.077075
-256.664426,119,15.413311
-365.040159,92,15.674071
-248.489123,104,15.962731
-119.092731,90,16.241493
-131.348908,90,16.518684
-89.509867,63,16.745963
-135.943539,68,16.945869
-122.186595,90,17.197564
-110.902424,91,17.449416
-95.616854,113,17.763662
-102.160673,63,17.938248
-131.52896,145,18.346868
-177.782549,90,18.617694
-163.841573,71,18.817243
-178.494138,74,19.053391
-73.17638,62,19.21472
-106.686439,110,19.524976
-85.800789,64,19.703876
-85.664052,57,19.873575
-123.832024,60,20.039723
-307.309531,105,20.332601
-115.839116,67,20.51657
-118.449117,101,20.802731
-254.32054,117,21.136698
-135.781423,86,21.377459
-283.584895,88,21.651495
-125.638122,64,21.847703
-91.615657,62,22.018268
-108.867398,69,22.20761
-69.418565,60,22.371809
-122.377953,86,22.621035
-86.816323,71,22.815913
-104.034209,98,23.103794
-76.01358,66,23.289098
-121.637937,67,23.473542
-84.2505,61,23.643503
-186.197601,86,23.901625
-177.575971,75,24.112769
-345.773867,85,24.360039
-197.098837,111,24.669412
-161.023907,62,24.841999
-68.044963,65,25.021978
-130.902007,104,25.33943
-138.88501,101,25.652236
-351.218908,76,25.865919
-334.300381,129,26.257857
-229.606839,103,26.549649
-375.870069,95,26.81522
-337.08505,88,27.060735
-117.555136,102,27.347716
-233.41435,146,27.784644
-115.308426,73,27.98887
-132.40928,84,28.227979
37.836105,128,28.609525
-134.777743,81,28.833598
-240.952869,129,29.193362
-237.530196,78,29.410473
-421.038689,100,29.694814
-157.213328,87,29.934648
-86.308664,56,30.094163
-111.930601,115,30.416355
-132.005735,87,30.658539
-111.205109,80,30.878687
-318.87239,97,31.151382
-364.281915,92,31.416725
-203.895459,77,31.537432
-525.660706,94,31.574244
-157.27516,58,31.594181
-171.813816,55,31.613109
-413.703083,191,31.691751
18.525741,125,32.063838
-269.347199,88,32.309558
-453.420079,116,32.637116
-238.346492,84,32.876952
-385.110892,107,33.196117
-183.257411,83,33.432153
-299.801548,81,33.670448
-170.523312,120,34.026704
-181.029093,60,34.204608
-105.772149,94,34.483361
-105.833664,59,34.658783
-187.813966,54,34.821022
-123.736408,65,35.014601
-153.539837,87,35.274153
-144.050668,56,35.467143
-116.932767,54,35.628228
-175.783675,70,35.858244
-140.982707,63,36.045053
-135.765358,71,36.257131
-138.521443,84,36.508004
-124.915097,54,36.667916
15.924697,160,37.153452
-92.39231,563,39.139099
-56.650933,1000,43.232055
-52.084499,1000,46.815573
-30.500323,1000,50.604783
-89.884327,394,51.884894
-7.779783,1000,55.608458
41.47374,1000,59.449617
79.184761,1000,63.358358
-47.212021,1000,67.21893
-15.219886,1000,69.13785
29.797255,208,69.242964
-73.066647,1000,70.549637
-26.955288,1000,71.87937
-37.661247,1000,73.042035
-26.855786,1000,77.248229
83.698696,1000,81.439099
181.740852,666,83.829181
102.957797,1000,87.846762
68.286087,1000,92.176193
-70.167051,221,92.880786
-47.319587,75,93.104774
19.021871,124,93.48621
99.026809,1000,97.732508
115.310017,1000,101.388261
-304.052539,74,101.638194
57.393036,1000,105.723818
-210.067053,157,106.238562
-153.828529,77,106.498226
-34.976753,521,108.352758
167.934857,594,110.403871
-11.46731,481,112.040212
169.334347,491,112.481396
258.300994,355,112.728682
98.72943,1000,114.059227
204.902939,483,114.427543
0.277369,134,114.487425
109.789732,1000,118.485945
59.045001,1000,122.187686
88.295822,1000,126.260767
-7.699959,400,127.585359
85.469399,1000,131.651304
23.617042,1000,135.669119
229.294411,336,136.798196
-112.930531,115,137.160993
120.170518,1000,140.903585
248.451108,483,142.701419
43.158217,166,143.219131
-133.256775,80,143.500757
11.087972,209,144.160436
136.405726,1000,147.539759
-128.425059,77,147.742094
-192.529269,57,147.915198
13.812954,134,148.321013
-95.560712,77,148.552904
-48.869282,145,148.99152
-149.798987,66,149.189841
8.599553,76,149.432379
-46.942697,267,151.658191
218.759259,388,151.903299
-64.079062,329,152.087619
168.791056,429,152.357569
155.101007,379,152.669934
-4.539911,211,153.345797
174.717043,1000,157.343877
7.220656,168,157.885596
-133.178577,70,158.095471
-63.802458,76,158.347141
-124.240513,77,158.599291
-56.375363,91,158.873037
196.19051,418,160.248213
-20.414738,191,160.849599
-30.945286,195,161.441618
-2.311971,187,162.005747
168.917085,338,163.094753
180.814116,300,164.041443
169.572003,395,165.381028
-49.127233,381,166.617817
-18.27262,1000,170.88891
-28.4421,1000,175.01843
65.680725,929,178.489589
-58.401781,71,178.711718
115.419012,812,181.932651
148.33233,1000,185.565048
-121.870136,151,186.021198
-84.015376,124,186.404839
-64.158055,156,186.928282
-87.65423,585,188.919068
-83.84318,516,189.610298
-14.832592,491,189.973814
133.365621,639,190.697696
-74.128716,597,191.277037
150.495077,580,191.945151
11.863666,427,193.377668
-21.718709,339,194.523257
34.695263,1000,198.723559
-22.140403,371,200.013663
-84.968223,367,201.212715
227.09158,400,202.579853
-51.932809,182,203.13505
-31.293605,127,203.537752
-18.55749,238,204.286738
61.27434,1000,208.103376
116.94853,1000,211.634978
219.270116,438,213.102766
-18.762657,231,213.850797
-68.693408,214,214.594414
-42.270342,278,215.495737
208.249892,311,216.556343
215.602343,630,218.672126
117.469847,1000,222.27274
5.304651,187,222.885609
201.36215,246,223.722517
6.66996,182,224.291313
-59.352236,275,227.814982
97.824751,1000,228.760742
30.740361,175,228.842764
226.182347,550,229.2644
85.550465,1000,230.84846
225.361489,352,232.085041
114.429256,1000,235.776021
-33.05622,445,237.250913
