#{"t_start": 1629133941.8847308, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,5.827135
-67.782128,87,6.040673
-197.924394,67,6.204418
-279.513276,105,6.460357
-126.389672,99,6.702961
-392.326204,121,7.00097
-272.919403,105,7.25927
-138.843945,105,7.521476
-58.698744,72,7.713459
-159.554815,82,8.022636
-299.487011,98,8.355966
-118.171132,62,8.528779
-99.301372,75,8.761996
-29.966706,68,8.957573
-111.68434,66,9.191822
-400.697909,112,9.588636
-210.141172,122,9.978571
-91.666108,69,10.201355
-136.873898,90,10.445491
-69.958091,75,10.651742
-133.25465,81,10.910753
-96.414245,83,11.149621
-326.350781,97,11.394175
-336.234139,81,11.623957
-68.445318,126,11.977537
-78.259958,87,12.242544
-68.861886,90,12.553212
-102.660792,66,12.745449
-201.606859,124,13.131886
-134.364748,119,13.425719
-416.58761,99,13.700485
-123.486752,65,13.879653
-264.298779,118,14.269366
-413.348776,97,14.579026
-72.999154,66,14.763489
-310.270989,88,15.020979
-107.493961,82,15.242702
-114.117202,68,15.435961
-68.603871,96,15.734947
-96.403267,74,15.94906
-102.219167,113,16.262051
-124.066683,67,16.462295
-181.273731,99,16.747618
-67.915264,60,16.937131
-279.979015,118,17.304557
-110.128807,73,17.542596
-293.10579,94,17.805278
-110.707659,66,18.001822
-229.621102,96,18.233168
-293.010282,81,18.463532
-165.800807,83,18.696666
-207.241603,78,18.918057
-120.434998,106,19.249723
-313.401956,105,19.585922
-55.001885,109,19.912641
-286.988614,75,20.120393
-329.407818,103,20.421295
22.328885,83,20.657549
-83.816608,58,20.821212
-59.853716,128,21.192853
-77.129996,74,21.423184
-159.792099,115,21.756203
-332.275003,99,22.065425
-87.011007,68,22.320542
-203.689063,79,22.53478
-81.816181,66,22.728894
-115.56474,62,22.91369
-344.48397,93,23.155771
-152.954804,109,23.417917
-334.893946,97,23.650132
-138.028291,90,23.879708
-115.191906,92,24.102223
-119.501607,97,24.348917
-132.769159,85,24.581743
-160.601479,66,24.779048
-91.96349,68,24.999683
-256.189297,129,25.378751
-94.578403,85,25.654577
-399.709519,147,26.103121
-72.602265,92,26.324214
-106.968076,107,26.667177
-67.017869,68,26.905975
-236.159512,94,27.168784
-94.415431,130,27.585385
-131.817759,70,27.774988
-215.081892,125,28.140449
-83.623338,66,28.329607
-95.676379,79,28.558126
-70.665983,76,28.795702
-143.528153,102,29.101065
-222.205791,89,29.356522
-187.335919,111,29.696563
-382.683828,145,30.186151
-250.279126,111,30.525969
-145.647751,69,30.718836
-398.9054,132,31.094434
-132.788267,133,31.450797
-137.421735,85,31.754614
-95.590403,64,31.992829
-372.044625,163,32.475733
-167.633477,97,32.779321
-144.860887,131,33.19748
-69.471222,79,33.434103
-341.257861,86,33.678436
-147.235109,115,33.977794
-83.013692,113,34.335282
-264.825967,97,34.642876
-225.954589,91,34.914852
-623.04458,113,34.996377
-963.290725,135,35.057849
-779.425001,106,35.104124
-597.69822,76,35.136352
-656.967317,89,35.174782
-92.354856,102,35.438985
-142.250344,90,35.675934
-185.821096,113,36.002805
-382.858889,234,36.692219
-405.908658,95,36.965446
-199.521362,135,37.356307
-76.130422,70,37.571438
-325.514211,162,38.033475
-199.378053,86,38.340604
-134.219804,123,38.669162
-182.449104,79,38.922599
-221.59294,154,39.396274
-94.250457,97,39.677597
-136.010149,116,40.006415
-293.25626,113,40.327088
-224.499092,92,40.648559
-322.075913,89,40.930417
-40.29287,82,41.18703
-107.313473,89,41.475049
-316.667869,109,41.818776
-171.017205,89,42.096547
-114.297885,69,42.332115
-443.510641,153,42.79162
-201.254609,185,43.344216
-412.222111,111,43.710411
-411.37218,129,44.079757
-163.508215,100,44.391529
-358.064394,130,44.827499
-291.481444,90,45.10297
-326.211109,90,45.395568
-317.955962,97,45.72714
-78.42526,79,45.96703
-156.223367,73,46.230879
-438.380365,86,46.53819
-348.917028,68,46.77994
-534.576906,81,47.013237
-468.234253,111,47.335104
-441.664169,94,47.622949
-252.38225,70,47.84522
-396.416956,70,48.073055
-467.203611,89,48.390031
-579.554675,103,48.649826
-548.795852,94,48.887014
-352.114241,79,49.161772
-114.829679,70,49.378457
-467.817527,87,49.625796
-456.215273,88,49.878489
-353.014189,74,50.104442
-362.441542,115,50.435627
-483.316685,88,50.685357
-434.841014,111,50.992001
-169.617698,63,51.144813
-250.875087,91,51.364303
-287.333118,118,51.697532
-118.275696,53,51.849517
-230.636345,69,52.047311
-222.171843,67,52.244033
-321.732378,96,52.530262
-361.799318,67,52.71339
-319.91279,78,52.913896
-163.679918,64,53.128013
-162.612759,79,53.350433
-149.6701,69,53.54729
-336.126093,92,53.810904
-390.67337,78,54.044188
-142.470459,132,54.448091
-190.920957,87,54.69811
-622.575012,100,54.988228
-394.310735,71,55.193038
-254.284057,54,55.349898
-302.277752,97,55.628821
-492.260133,80,55.858024
-350.487689,82,56.097049
-338.879584,80,56.328051
-236.399157,64,56.51088
-218.052568,64,56.695559
-133.461448,56,56.855933
-385.621797,96,57.135077
-405.547006,101,57.493376
-243.758529,85,57.734242
-209.999561,56,57.89327
-196.165778,65,58.068683
-229.72299,62,58.241493
-149.087853,60,58.388765
-230.381652,70,58.577481
-331.10893,56,58.765656
-452.538932,79,59.009178
-263.820509,69,59.209209
-302.094001,95,59.502231
-341.657214,56,59.664528
-525.959242,87,59.935552
-455.476954,84,60.175849
-448.513975,93,60.442829
-547.731737,96,60.715792
-513.293106,83,60.952657
-242.329924,67,61.164995
-301.225176,76,61.383269
-402.317753,93,61.652486
-437.997366,74,61.885775
-409.584217,99,62.193118
-344.053165,81,62.442105
-467.94598,96,62.724794
-382.394029,75,62.942274
-411.261753,73,63.1732
-296.48407,65,63.36517
-337.119376,76,63.593883
-365.701498,81,63.835921
-434.202754,70,64.039432
-141.159821,72,64.269777
-128.195468,72,64.476178
-401.79375,79,64.691859
-134.894253,65,64.902425
-499.344434,64,65.022299
-606.150754,62,65.047943
-558.902411,62,65.073409
-379.635786,47,65.092269
-422.418126,51,65.113382
-167.02075,68,65.297956
-267.025983,91,65.557666
-583.421165,113,65.933258
2.289292,71,66.150543
-473.495607,70,66.37547
-219.907571,56,66.567071
-155.610792,71,66.792807
-319.967896,67,66.985982
-372.820269,65,67.172602
-530.998624,83,67.413533
-430.793867,72,67.621481
-262.17532,69,67.820906
-434.095565,76,68.042352
-212.547197,64,68.241148
-375.205636,71,68.452698
-584.446524,89,68.711597
-94.359374,55,68.88519
-276.305737,94,69.153927
-514.216826,64,69.336057
-332.889946,63,69.516249
-489.720357,99,69.800939
-419.637717,90,70.060483
-163.609569,74,70.276927
-438.04614,86,70.534208
-363.167121,60,70.72893
-199.877999,58,70.901173
-290.82467,63,71.109778
-394.078991,64,71.297623
-279.333162,68,71.499128
-318.157532,71,71.706226
-164.068671,62,71.889564
-584.653551,77,72.174339
-148.497355,68,72.403084
-534.258021,80,72.63268
-416.541412,69,72.832654
-329.533838,67,73.046666
-550.472654,88,73.299275
-391.149168,64,73.484471
-539.821451,88,73.750815
-513.821962,90,74.007305
25.170521,75,74.223586
-379.134027,77,74.445895
-23.056453,84,74.725954
-609.208325,92,74.995156
-295.817341,73,75.232772
-456.172849,73,75.442654
-369.771638,69,75.64047
-503.818223,75,75.864362
-651.905841,90,76.128275
-459.534365,70,76.330311
-443.68769,82,76.574618
-293.84032,70,76.785556
-492.062166,80,77.027469
-356.303402,78,77.247721
-197.077748,61,77.422289
-487.952636,76,77.703558
-490.3985,76,77.922671
-589.234079,84,78.188468
-437.808632,102,78.476341
-373.791815,61,78.634196
-458.731443,73,78.845455
-710.440344,91,79.131569
-411.086618,67,79.329198
-348.111114,73,79.550841
-404.261178,65,79.724771
-624.281375,92,79.991078
-389.673041,100,80.284505
-436.803108,76,80.50931
-548.077806,78,80.739692
-529.807452,75,80.95869
-305.491882,68,81.160121
-330.765854,69,81.361829
-356.904287,80,81.587075
-341.592992,55,81.747412
-379.242513,69,81.96877
-235.273868,69,82.172969
-528.097153,102,82.495856
-438.911269,71,82.723481
-398.377447,82,82.963901
-522.227325,95,83.276251
-247.575932,54,83.459327
-229.458808,59,83.637164
-742.721948,109,84.010369
-314.667335,73,84.246546
-362.14296,71,84.446383
-395.466737,61,84.648641
-581.580442,77,84.873016
-368.857622,82,85.107603
-348.4552,73,85.346921
-315.141174,83,85.606736
-558.109781,91,85.876096
-271.919937,57,86.047789
-440.191965,69,86.257645
-411.60508,78,86.49457
-394.542469,63,86.687777
-423.011631,79,86.934164
-393.774238,76,87.163152
-478.985216,79,87.391408
-429.154876,77,87.625956
-544.557883,94,87.905052
-264.992947,64,88.134372
-558.829698,83,88.383166
-362.434455,68,88.612365
-325.203493,71,88.85027
-565.296726,74,89.110591
-220.471917,68,89.316698
-501.999741,68,89.516358
-311.023049,61,89.708753
-401.770037,60,89.880388
-373.640308,55,90.041085
-576.852279,73,90.276121
-568.858449,73,90.498474
-324.310196,53,90.656532
-299.965791,55,90.825223
-287.054764,76,91.044875
-426.536288,68,91.247213
-215.642916,61,91.451122
-351.747675,64,91.646242
-240.151474,57,91.819341
-428.480062,79,92.051086
-296.70955,58,92.220292
-139.607893,55,92.376823
-540.186628,86,92.627322
-564.95199,93,92.896773
-375.55433,75,93.113213
