#{"t_start": 1629134396.7235265, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,5.380469
-67.782128,87,5.657129
-197.924394,67,5.870324
-279.513276,105,6.18593
-122.875629,99,6.512759
-392.326204,121,6.865225
-244.153966,105,7.174178
-118.341981,106,7.566571
-111.315797,123,8.081082
-201.468839,103,8.45438
-153.56482,69,8.772854
-47.475748,81,9.059455
-203.140343,117,9.597416
-20.270899,68,9.865465
-172.09426,90,10.132246
-242.672756,69,10.315725
-138.659903,85,10.552817
-153.156812,111,10.868023
-379.104128,122,11.22271
-121.82118,82,11.437608
-159.324181,82,11.672107
-119.640455,63,11.857112
-88.372337,68,12.059473
-127.836202,116,12.401314
-246.023304,96,12.68134
-346.449827,89,12.937136
-125.934032,88,13.188278
-123.62595,85,13.42276
-140.320413,76,13.633365
-101.516188,102,13.91868
-59.009263,98,14.198004
-74.625076,95,14.479328
-126.014928,121,14.880162
-171.308151,62,15.082978
-193.253669,63,15.275931
-102.050435,110,15.632519
-169.716697,73,15.855063
-38.701505,111,16.188707
-104.586409,71,16.395931
-109.758388,67,16.58549
-42.632452,117,16.916585
-189.690083,85,17.184198
-80.890186,90,17.446737
-265.122109,98,17.725976
-156.966332,99,18.016465
-175.64984,106,18.367544
-46.262908,63,18.517591
-169.892716,116,18.852852
-117.738494,124,19.283697
-119.002978,62,19.478327
-50.785286,84,19.741756
-161.132058,88,20.021834
-106.216643,74,20.252211
-121.591682,118,20.59849
-157.352503,92,20.861971
-167.31744,86,21.110607
-191.946356,93,21.349425
-108.08527,78,21.610057
-142.027307,90,21.913193
-26.989783,80,22.252718
-209.149636,66,22.457502
-18.235495,81,22.706093
-220.417501,123,23.065151
-186.093938,109,23.384828
-28.214627,112,23.711394
-182.563286,63,23.889244
-103.634478,96,24.168914
-51.112888,93,24.44305
-133.933887,73,24.624507
-103.563123,86,24.876072
-129.042783,75,25.14901
-111.728071,87,25.449719
-86.696121,76,25.670385
-177.137846,69,25.889911
-176.658442,86,26.179886
-62.199628,137,26.568651
-28.317783,141,26.943261
-42.928661,64,27.147944
-126.033729,97,27.472076
-230.59948,87,27.73306
-92.851206,59,27.930941
-110.512539,117,28.331322
-161.311476,107,28.652889
-193.311399,80,28.880449
-113.642316,67,29.070021
-87.486173,64,29.312889
-109.398835,65,29.510125
-184.759092,83,29.737107
-146.299281,102,29.985265
-82.267383,95,30.216141
-110.68975,97,30.507967
-29.957485,80,30.732481
-120.131926,85,30.984359
-95.743311,94,31.252234
-82.871895,93,31.546449
-176.777546,82,31.786721
-64.021632,71,31.996783
-129.061689,90,32.292494
-94.599852,71,32.501791
-133.729217,68,32.723833
-84.47955,117,33.084351
-137.995616,113,33.461092
-173.109567,88,33.711213
-135.746953,115,34.040147
-110.511714,121,34.377682
-81.40458,100,34.636404
-93.451802,136,35.064031
-72.522437,82,35.339272
-36.792097,103,35.677559
-656.044009,261,36.064394
-257.181296,775,36.889444
-224.222516,398,37.161284
-146.308522,1000,38.617129
-207.715536,362,38.867735
-112.394484,126,39.249542
-97.228122,101,39.528794
-62.864463,80,39.724022
-142.418283,74,39.921987
-90.83231,79,40.135971
-46.765934,118,40.461025
-115.794472,87,40.692042
-124.247786,108,41.026819
-102.944823,128,41.381411
-113.564503,91,41.59767
-74.216499,87,41.816529
-157.507052,99,42.11712
-107.01156,75,42.302098
-90.033075,92,42.588393
-105.325304,131,42.991442
-20.640352,115,43.342427
-58.726676,84,43.564198
-81.088207,90,43.858753
-78.66875,95,44.183422
-86.720684,75,44.394253
-38.045754,93,44.666598
-81.854357,122,45.019729
-75.697421,85,45.298255
-100.886064,109,45.608695
-77.746776,97,45.890357
-106.685374,82,46.122344
-102.399424,146,46.583662
-88.425146,136,46.985389
-146.332528,157,47.504286
-390.411353,171,48.065077
-75.029562,81,48.333402
-84.150728,88,48.606181
-105.64886,137,49.026122
-58.244311,124,49.387244
-93.250806,107,49.773054
25.174872,155,50.313015
-36.976841,141,50.74755
-169.052314,112,51.079551
-106.26187,84,51.310607
-164.331235,140,51.686826
-120.192125,121,52.046561
-158.566636,97,52.288439
-209.099516,190,52.798636
-40.298833,75,53.016757
-114.774772,174,53.546513
-44.33857,82,53.770732
-73.306193,147,54.152651
-32.644498,140,54.542353
-176.800708,124,54.940907
-90.527617,121,55.341079
-103.648906,196,55.885656
-61.192741,105,56.147004
-223.016117,129,56.53127
-81.275891,95,56.825607
-42.677279,79,57.056891
-81.095186,90,57.349991
-19.658841,90,57.62203
-71.06733,79,57.879913
-67.487963,77,58.116579
-39.136994,104,58.436213
-78.477229,178,58.968893
-73.322799,111,59.329595
-38.835954,101,59.663117
-83.85724,147,60.181838
-108.58145,84,60.511783
-75.02664,95,60.801062
-1.619508,193,61.470243
-14.077633,89,61.751856
-91.54566,150,62.269915
-21.017322,88,62.568536
-28.272045,88,62.928883
-150.536187,91,63.224071
-82.099684,96,63.526119
-129.008071,122,63.892741
-72.512921,121,64.243794
-17.195284,143,64.681197
-33.135731,264,65.541363
-57.64581,108,65.822039
-66.745545,115,66.145252
-87.974401,81,66.377575
-72.807434,84,66.614841
-242.338354,201,67.235877
-170.834144,220,67.917658
-110.506488,148,68.363123
-100.971735,107,68.633405
-91.179917,97,68.976707
-282.263545,542,69.731401
-250.915051,398,70.015975
-190.611656,275,70.170737
-222.364126,377,70.412371
-270.485401,609,71.078759
-86.414223,137,71.533487
-100.264627,144,72.019799
5.763238,178,72.577586
-40.445973,88,72.794755
-49.417659,123,73.104287
-52.949623,147,73.587489
-32.723719,73,73.850271
-59.502348,117,74.207888
-175.456824,141,74.664879
-63.695434,88,74.9434
-82.216858,93,75.198675
-62.201562,122,75.576527
-36.806666,143,76.054683
-54.258707,90,76.327758
-39.574354,166,76.85869
1.602227,142,77.305208
-31.292076,125,77.777642
-38.382789,90,78.027717
-58.360675,83,78.26728
-20.840115,152,78.728393
-69.982346,186,79.321294
-85.078997,64,79.55389
-77.592573,132,80.031283
-62.679672,124,80.456421
-74.172009,99,80.743621
-36.706543,173,81.262904
-111.685422,111,81.587623
-104.529204,180,82.138709
-318.355101,155,82.659418
-33.469684,137,83.08886
-74.421037,193,83.669452
-33.434775,129,84.098316
-32.927885,195,84.836868
22.405091,125,85.202577
-140.809058,134,85.5633
-185.895078,207,86.157212
-10.455489,207,86.768539
10.258395,201,87.385847
-84.254818,182,87.95151
-113.936019,222,88.659734
-173.270987,114,89.002824
-118.637733,218,89.659762
-179.607754,159,90.149818
-129.59316,172,90.68131
-367.108106,210,91.346373
121.448816,1000,94.864789
-216.490554,168,95.370703
-52.22919,166,95.911205
-74.217205,221,96.53581
29.74069,104,96.785423
-128.892917,291,97.510158
-39.492697,127,97.814963
-74.304996,225,98.461283
-6.752439,109,98.820312
-14.888453,144,99.28417
-18.611794,68,99.513555
-18.395707,114,99.907596
10.912006,126,100.334359
