#{"t_start": 1629134400.5035465, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,6.197877
-67.782128,87,6.436344
-197.924394,67,6.62354
-279.513276,105,6.923058
-156.504521,99,7.20212
-392.326204,121,7.541243
-249.93582,107,7.866518
-195.23461,110,8.175666
-211.463542,95,8.469248
-213.131956,99,8.743538
-168.491528,65,8.935132
-75.801557,69,9.12506
-132.483906,104,9.447872
-24.113512,81,9.677809
-83.755118,71,9.879083
-105.580333,79,10.103024
-81.045487,72,10.304792
-115.035705,99,10.609631
-141.162113,109,10.927373
-365.08882,101,11.292971
-156.798189,77,11.525667
-144.21717,108,11.832776
-303.751984,90,12.06023
-48.11931,63,12.228383
-208.088893,105,12.506294
-208.398638,83,12.720394
13.212232,134,13.107864
-143.547499,146,13.552468
0.631193,62,13.729717
-117.077299,110,14.036963
-169.883623,79,14.311076
-197.115729,71,14.547333
-146.25156,103,14.870232
-93.920778,79,15.071308
-180.824582,107,15.40914
-181.63543,101,15.711996
-39.017353,107,16.015363
-179.471326,86,16.313493
-80.711042,95,16.56405
-88.957778,72,16.777751
-100.873398,72,16.969208
-244.362682,108,17.297083
-214.031901,116,17.591824
-216.381424,101,17.860295
-196.485817,114,18.180402
-69.087506,64,18.409492
-220.437513,86,18.629757
-49.244791,66,18.841223
-258.852276,89,19.095171
-379.247967,85,19.338413
-90.437232,112,19.682197
-104.734947,80,19.901071
-227.011521,124,20.200866
-230.644609,81,20.437903
-277.625526,92,20.710598
-67.704316,63,20.898516
-221.546017,87,21.132046
-125.407409,68,21.330397
-110.467556,87,21.589719
-112.49958,88,21.854349
-116.288857,66,22.028921
-198.22078,132,22.453302
-127.518549,122,22.806215
-373.649301,93,23.077197
-205.419187,90,23.370265
-135.954236,63,23.567532
-195.685985,81,23.817969
-136.581947,90,24.110685
11.734728,96,24.388182
-124.816757,104,24.698156
-110.083876,60,24.876266
31.264003,93,25.145419
-109.283328,102,25.437433
-211.89983,90,25.710152
-136.998045,69,25.923094
-111.570462,148,26.284325
-307.995448,104,26.584213
-218.520831,102,26.913612
-130.957255,99,27.194082
-160.791276,108,27.501131
-172.247176,121,27.904148
-79.392949,139,28.316674
-151.006719,67,28.526419
-126.061773,78,28.835397
-138.639016,98,29.170502
-30.055921,116,29.51753
-254.569926,96,29.800219
23.949438,137,30.195278
-307.529277,120,30.557843
-199.740444,125,30.938539
-300.155382,138,31.303502
-80.25281,65,31.490952
-191.10827,107,31.788284
-177.657589,110,32.059082
-328.398847,120,32.405788
-112.870017,143,32.87858
-1.132679,75,33.10512
-97.005421,104,33.427616
14.867278,69,35.701478
-325.932526,87,35.733088
-258.059443,64,35.757128
-393.378922,82,35.78704
-157.931641,58,35.808538
-200.548232,104,36.104747
-130.006934,95,36.411077
-173.725808,121,36.772205
-108.974138,83,37.014917
-146.175541,130,37.398577
-138.928967,138,37.800153
-102.62128,125,38.145965
-197.115475,141,38.533472
-92.896393,67,38.739296
-106.852892,77,38.928802
-187.501786,110,39.248018
84.866846,1000,42.698833
-108.848735,97,42.992532
-45.430637,101,43.302473
-23.226611,107,43.601126
-70.280366,66,43.774171
-159.355648,110,44.111459
-84.064927,78,44.318761
-145.120771,81,44.55798
-156.628258,97,44.82581
-33.606679,201,45.469096
-139.068175,103,45.7884
-161.291773,167,46.288501
-107.770629,63,46.469687
-197.279989,78,46.691117
-187.692916,74,46.893243
-32.683206,121,47.248131
-106.642274,166,47.793632
-12.971889,107,48.128803
-140.076269,153,48.581608
-52.118433,108,48.964766
-294.93589,128,49.354064
-82.943529,113,49.712888
-206.414166,116,50.00436
-36.791173,68,50.195277
-65.928603,95,50.4572
-85.701599,158,50.894088
-93.817079,80,51.110824
-88.838664,102,51.387006
-23.057202,126,51.796452
-129.114281,136,52.227416
-85.55095,160,52.728915
-143.207465,103,53.040491
-50.570103,108,53.373589
-21.902678,70,53.555785
5.879096,104,53.865185
-129.414602,110,54.131429
-43.301111,140,54.468435
-85.140525,92,54.691561
-139.816275,105,54.942484
-318.862136,91,55.159126
-100.129773,114,55.527816
-91.096602,150,56.032331
-67.561292,98,56.348627
-93.318555,92,56.650711
-91.803537,130,57.064882
-110.798318,91,57.330283
-63.671801,116,57.695128
-29.198685,81,57.951459
-161.752109,120,58.320345
-95.148666,77,58.529378
-58.947463,83,58.751252
-25.496885,156,59.225673
-33.753889,72,59.418227
-38.352174,71,59.651173
-97.929557,97,59.956571
-82.584263,78,60.18614
-73.634965,81,60.442366
-105.108287,90,60.75938
-126.357337,160,61.341906
-35.38721,99,61.71788
-93.166347,179,62.280587
-102.119508,122,62.638032
-57.371818,70,62.841123
-73.864424,124,63.21214
-40.787521,95,63.472184
-86.671562,94,63.770182
-67.270718,133,64.14564
17.630802,145,64.575929
-87.823741,112,64.911645
-80.462273,110,65.229955
-62.790908,138,65.697479
-59.825072,120,66.036753
13.608057,78,66.147032
-183.796212,164,66.218752
-49.96464,80,66.245983
-127.307204,89,66.274649
-97.150109,52,66.291245
-45.037455,71,66.488603
-31.103616,85,66.779328
-100.24213,197,67.501817
-51.583991,185,68.104376
-72.156229,101,68.390666
-173.5135,131,68.784405
-47.934557,118,69.09768
-51.97469,74,69.293981
-90.99178,100,69.581048
-58.070951,116,69.963493
-69.591807,106,70.316499
-31.485485,138,70.72821
-135.529934,149,71.158196
-108.248431,105,71.46646
-78.182032,222,72.145899
-53.930471,116,72.515657
-105.929879,166,72.987948
-5.600013,154,73.43102
-104.815834,98,73.766426
-83.206126,111,74.14714
-47.113291,161,74.649435
-42.446793,75,74.866771
-98.918124,88,75.102864
-61.072373,100,75.409402
-50.467771,173,75.967268
-73.465761,126,76.425457
-42.915913,130,76.805399
-32.540976,223,77.416229
-45.041853,98,77.654086
-39.309734,272,78.415554
-42.217326,112,78.768503
42.860588,173,79.266565
-38.594,99,79.607892
-9.284197,81,79.849627
-48.618426,107,80.17117
-60.103705,134,80.674096
-124.055492,109,80.993644
-50.425105,131,81.351302
4.33232,108,81.650543
-5.340854,162,82.190925
-25.090163,205,82.842133
-53.513062,133,83.23985
-6.688624,98,83.490543
-19.218457,136,83.836929
-42.024293,227,84.481431
-28.665118,130,84.848758
-8.501374,226,85.469444
-22.648445,207,86.095373
-41.141167,194,86.696033
